Position,Artist,Title,Days,Total Streams
1,Lady Gaga,Die With A Smile (w/ Bruno Mars),1,"2,288,864,191"
2,Alex Warren,Ordinary,2,"253,647,966"
3,Billie Eilish,BIRDS OF A FEATHER,1,"2,387,952,277"
4,ROSÃ,APT. (w/ Bruno Mars),1,"1,480,725,865"
5,Kendrick Lamar,luther,2,"796,956,710"
6,JENNIE,like JENNIE,5,"173,399,621"
7,Gracie Abrams,Thatâs So True,3,"933,358,589"
8,Gigi Perez,Sailor Song,6,"884,012,397"
9,W Sound,"La Plena - W Sound 05 (w/ BeÃ©le, Ovy On The Drums)",5,"158,807,862"
10,Bad Bunny,DtMF,1,"665,025,706"
11,Benson Boone,Beautiful Things,1,"2,029,505,789"
12,Lola Young,Messy,8,"505,432,547"
13,Billie Eilish,WILDFLOWER,8,"1,076,537,938"
14,Sabrina Carpenter,Espresso,1,"2,130,564,955"
15,Doechii,Anxiety,2,"208,456,991"
16,Jimin,Who,1,"1,495,985,470"
17,AlemÃ¡n,Te QuerÃ­a Ver (w/ Neton Vega),13,"208,996,579"
18,Lady Gaga,Abracadabra,2,"290,986,216"
19,NIKI,You'll Be in My Heart - Spotify Singles,16,"62,013,890"
20,The Weeknd,Timeless (w/ Playboi Carti),2,"775,502,892"
21,Bad Bunny,BAILE INoLVIDABLE,3,"503,916,606"
22,Drake,NOKIA,15,"181,004,472"
23,Tate McRae,Sports car,14,"254,186,327"
24,sombr,back to friends,24,"71,443,301"
25,The Weeknd,"One Of The Girls (w/ JENNIE, Lily-Rose Depp)",2,"1,682,973,580"
26,WizTheMc,Show Me Love (w/ bees & honey),20,"104,940,601"
27,Chappell Roan,"Good Luck, Babe!",5,"1,441,524,607"
28,Cup of Joe,Multo,24,"39,119,632"
29,Kendrick Lamar,All The Stars (w/ SZA),2,"1,209,844,480"
30,Kendrick Lamar,Not Like Us,1,"1,406,365,026"
31,Teddy Swims,Lose Control,5,"1,634,121,852"
32,Neton Vega,Morena (w/ Peso Pluma),24,"135,150,221"
33,Jombriel,"VITAMINA (w/ DFZM, JÃ¸tta)",32,"85,891,444"
34,Bad Bunny,EoO,9,"323,491,996"
35,The MarÃ­as,No One Noticed,32,"289,068,709"
36,Chappell Roan,Pink Pony Club,18,"483,892,076"
37,The Goo Goo Dolls,Iris,29,"950,188,957"
38,Arctic Monkeys,I Wanna Be Yours,11,"2,449,540,698"
39,Sabrina Carpenter,Taste,2,"971,972,297"
