Position,Artist,Listeners
1,Kendrick Lamar,"762,919"
2,The Weeknd,"674,096"
3,Lady Gaga,"666,982"
4,"Tyler, The Creator","649,760"
5,Lana Del Rey,"595,967"
6,Charli xcx,"573,961"
7,Billie Eilish,"571,356"
8,Ariana Grande,"552,713"
9,Sabrina Carpenter,"539,415"
10,Taylor Swift,"538,699"
11,Radiohead,"537,431"
12,Drake,"530,310"
13,Kanye West,"526,160"
14,Chappell Roan,"481,932"
15,Frank Ocean,"461,342"
16,Rihanna,"459,754"
17,Arctic Monkeys,"452,322"
18,SZA,"445,021"
19,Playboi Carti,"439,044"
20,Travi$ Scott,"408,298"
21,The Marías,"397,478"
22,Clairo,"385,778"
23,Paramore,"383,988"
24,Olivia Rodrigo,"368,447"
25,A$AP Rocky,"353,388"
26,Future,"350,859"
27,Gorillaz,"349,035"
28,Mitski,"348,156"
29,Doja Cat,"338,296"
30,Coldplay,"336,165"
31,beabadoobee,"335,337"
32,The Smiths,"333,462"
33,Doechii,"328,892"
34,Tame Impala,"326,751"
35,Beyoncé,"326,425"
36,Deftones,"326,040"
37,Childish Gambino,"325,356"
38,Linkin Park,"322,451"
39,The Neighbourhood,"322,120"
40,TV Girl,"321,382"
41,PinkPantheress,"317,917"
42,Katy Perry,"315,522"
43,Tate McRae,"311,154"
44,Nirvana,"306,851"
45,Mac DeMarco,"304,214"
46,Kali Uchis,"299,438"
47,Steve Lacy,"294,967"
48,Bruno Mars,"291,348"
49,Mac Miller,"288,745"
50,Fleetwood Mac,"288,598"
51,The Beatles,"288,482"
52,Justin Bieber,"285,355"
53,Don Toliver,"282,999"
54,Lorde,"282,006"
55,Hozier,"275,711"
56,Selena Gomez,"268,883"
57,Gracie Abrams,"258,376"
58,Bad Bunny,"257,456"
59,Britney Spears,"256,342"
60,twenty one pilots,"255,923"
61,Post Malone,"255,890"
62,Lil Uzi Vert,"253,430"
63,The Strokes,"253,272"
64,Jennie,"250,919"
65,Green Day,"249,189"
66,Michael Jackson,"247,569"
67,Queen,"245,900"
68,Harry Styles,"245,185"
69,Eminem,"241,855"
70,Maroon 5,"241,829"
71,Calvin Harris,"237,989"
72,Dua Lipa,"236,606"
73,Cigarettes After Sex,"234,893"
74,My Chemical Romance,"233,088"
75,Metro Boomin,"232,788"
76,Miley Cyrus,"232,115"
77,Ken Carson,"228,646"
78,Marina,"227,925"
79,System of a Down,"227,802"
80,J. Cole,"225,690"
81,Red Hot Chili Peppers,"219,411"
82,LE SSERAFIM,"218,681"
83,The Cure,"218,443"
84,d4vd,"212,462"
85,Laufey,"210,606"
86,21 Savage,"210,468"
87,Nicki Minaj,"206,103"
88,Pink Floyd,"202,729"
89,Joji,"202,552"
90,Daniel Caesar,"202,457"
91,Daft Punk,"199,683"
92,BTS,"199,625"
93,XXXTENTACION,"199,005"
94,Brent Faiyaz,"198,655"
95,The Smashing Pumpkins,"197,187"
96,The Cranberries,"195,723"
97,Lil Tecca,"192,484"
98,PARTYNEXTDOOR,"191,745"
99,Panic! at the Disco,"189,949"
100,Ke$ha,"189,318"
101,Baby Keem,"186,222"
102,Faye Webster,"186,136"
103,JAY-Z,"185,799"
104,Fall Out Boy,"185,073"
105,ABBA,"184,478"
106,David Guetta,"184,447"
107,Lil' Wayne,"183,342"
108,Billy Joel,"182,255"
109,Conan Gray,"181,457"
110,Imogen Heap,"180,007"
111,Phoebe Bridgers,"179,537"
112,One Direction,"179,471"
113,Ed Sheeran,"179,440"
114,Justin Timberlake,"179,235"
115,MGMT,"178,281"
116,Alex G,"178,267"
117,Juice WRLD,"177,537"
118,Adele,"177,498"
119,Weezer,"176,623"
120,The 1975,"175,935"
121,Lisa,"175,932"
122,Beach House,"174,824"
123,Gunna,"174,568"
124,Lil Yachty,"174,032"
125,NewJeans,"173,826"
126,Pitbull,"172,558"
127,Men I Trust,"171,365"
128,Slipknot,"170,150"
129,Djo,"168,135"
130,Sade,"168,119"
131,Lil Peep,"167,582"
132,Black Eyed Peas,"167,537"
133,The Killers,"167,502"
134,Troye Sivan,"167,192"
135,David Bowie,"166,233"
136,Jeff Buckley,"165,688"
137,Metallica,"165,192"
138,bôa,"164,200"
139,Foo Fighters,"163,830"
140,Ravyn Lenae,"163,505"
141,sombr,"162,685"
142,TWICE,"161,812"
143,Tory Lanez,"161,350"
144,Elton John,"161,098"
145,Cage the Elephant,"159,309"
146,aespa,"159,189"
147,Muse,"158,768"
148,Nelly Furtado,"158,168"
149,Megan Thee Stallion,"157,718"
150,Yeat,"157,715"
151,Young Thug,"157,404"
152,Gigi Perez,"157,397"
153,Pierce the Veil,"157,096"
154,Bon Iver,"156,502"
155,Chase Atlantic,"156,206"
156,Imagine Dragons,"155,711"
157,Dominic Fike,"155,080"
158,Madonna,"154,101"
159,Kid Cudi,"153,949"
160,The Kid LAROI,"152,581"
161,OutKast,"151,861"
162,Big Thief,"151,567"
163,Wallows,"150,785"
164,Mazzy Star,"150,354"
165,Limp Bizkit,"149,556"
166,Halsey,"148,504"
167,Magdalena Bay,"147,709"
168,Bring Me the Horizon,"147,041"
169,Avril Lavigne,"146,822"
170,Noah Kahan,"146,103"
171,Lil Baby,"145,401"
172,Oasis,"145,211"
173,Rosé,"144,777"
174,Shakira,"144,739"
175,Evanescence,"144,011"
176,Blood Orange,"141,796"
177,The Police,"141,481"
178,Cocteau Twins,"141,458"
179,Adrianne Lenker,"139,545"
180,Alice in Chains,"139,431"
181,Pixies,"139,326"
182,Chief Keef,"138,285"
183,Korn,"137,980"
184,Trippie Redd,"137,724"
185,Empire of the Sun,"137,675"
186,Lucky Twice,"136,999"
187,MF DOOM,"135,396"
188,Florence + the Machine,"134,744"
189,The Rolling Stones,"133,968"
190,Usher,"133,776"
191,$uicideboy$,"133,692"
192,Led Zeppelin,"133,639"
193,Sufjan Stevens,"131,459"
194,¥$,"129,959"
195,Tears for Fears,"128,924"
196,Ethel Cain,"128,669"
197,5 Seconds of Summer,"128,352"
198,Frank Sinatra,"127,970"
199,Chris Brown,"127,828"
200,Grimes,"127,804"
