Rank,Title,Artist
1,Mona Lisa,j-hope
2,Running Wild,Jin
3,Sweet Dreams (feat. Miguel),j-hope
4,Who,Jimin
5,Haegeum,Agust D
6,FAKE LOVE,BTS
7,Winter Ahead (with PARK HYO SHIN),V
8,LV Bag (feat. j-hope of BTS & Pharrell Williams),Don Toliver
9,Wild Flower (with youjeen),RM
10,Headphones On,Addison Rae
11,like JENNIE,Jennie
12,LOST!,RM
13,MORE,j-hope
14,Seven (feat. Latto) (Explicit Ver.),Jung Kook
15,Winter Ahead (with PARK HYO SHIN),"V, Park Hyo Shin"
16,Seven (feat. Latto),Jung Kook
17,Sports car,Tate McRae
18,party 4 u,Charli xcx
19,Von dutch,Charli XCX
20,Abracadabra,Lady Gaga
1,j-hope,N/A
2,Playboi Carti,N/A
3,Taylor Swift,N/A
4,BTS,N/A
5,Charli xcx,N/A
6,Ariana Grande,N/A
7,Kendrick Lamar,N/A
8,Jin,N/A
9,"Tyler, The Creator",N/A
10,Lady Gaga,N/A
11,Drake,N/A
12,Sabrina Carpenter,N/A
13,Lana Del Rey,N/A
14,The Weeknd,N/A
15,Ken Carson,N/A
16,Jimin,N/A
17,Billie Eilish,N/A
18,Kanye West,N/A
19,Tate McRae,N/A
20,Radiohead,N/A
1,ruin my life,eaJ
2,Invincible (from Kaiju No. 8),OneRepublic
3,"I...Am Steve (Bonus Songs from ""A Minecraft Movie"" Soundtrack)",Jack Black
4,HEAVIER JELLY,Soft Play
5,Silent Hill (The Headphones 2),Avith Ortega
6,"les filles, les meufs",Marguerite
7,Get To Heaven (The B-Sides),Everything Everything
8,Learn To Let You Go,Zimmer90
9,Nectar,dublon
10,head in the clouds,EKKSTACY
1,Confessions of a Rotten Girl,SAWTOWNE
2,Back and Forth,Haywyre
3,Cyberfriend,Becko
4,End of an Empire,Celldweller
5,Here With You Now,Grabbitz
6,Infected,Starset
7,Rainbow Road,nanobii
8,The Best It's Gonna Get,Celldweller
9,Weightless (Remastered 2019),Brian Eno
10,Hyphycide,NiT GRiT
