position,artist,listeners,kworb_song_count,kworb_song_titles
1,Kendrick Lamar,"762,919",5,"All The Stars (w/ SZA), Money Trees (w/ Jay Rock), Not Like Us, luther, tv off (w/ Lefty Gunplay)"
2,The Weeknd,"674,096",5,"Blinding Lights, Die For You, One Of The Girls (w/ JENNIE, Lily-Rose Depp), Starboy (w/ Daft Punk), Timeless (w/ Playboi Carti)"
3,Lady Gaga,"666,982",6,"Abracadabra, Bad Romance, Die With A Smile (w/ Bruno Mars), Judas, Just Dance (w/ Colby O'Donis), Poker Face"
4,"Tyler, The Creator","649,760",2,"Like Him (w/ Lola Young), See You Again (w/ Kali Uchis)"
5,Lana Del Rey,"595,967",2,"Summertime Sadness, Young And Beautiful"
6,Charli xcx,"573,961",2,"Guess featuring billie eilish (w/ Billie Eilish), party 4 u"
7,Billie Eilish,"571,356",4,"BIRDS OF A FEATHER, CHIHIRO, WILDFLOWER, lovely (w/ Khalid)"
8,Ariana Grande,"552,713",2,"twilight zone, we can't be friends (wait for your love)"
9,Sabrina Carpenter,"539,415",6,"Bed Chem, Busy Woman, Espresso, Juno, Please Please Please, Taste"
10,Taylor Swift,"538,699",1,Cruel Summer
11,Radiohead,"537,431",1,Creep
12,Drake,"530,310",1,NOKIA
13,Kanye West,"526,160",0,
14,Chappell Roan,"481,932",2,"Good Luck, Babe!, Pink Pony Club"
15,Frank Ocean,"461,342",1,Pink + White
16,Rihanna,"459,754",1,Breakin' Dishes
17,Arctic Monkeys,"452,322",4,"505, Do I Wanna Know?, I Wanna Be Yours, No. 1 Party Anthem"
18,SZA,"445,021",2,"Saturn, Snooze"
19,Playboi Carti,"439,044",1,RATHER LIE (w/ The Weeknd)
20,Travi$ Scott,"408,298",0,
21,The Marías,"397,478",0,
22,Clairo,"385,778",0,
23,Paramore,"383,988",0,
24,Olivia Rodrigo,"368,447",0,
25,A$AP Rocky,"353,388",0,
26,Future,"350,859",0,
27,Gorillaz,"349,035",1,Feel Good Inc
28,Mitski,"348,156",1,My Love Mine All Mine
29,Doja Cat,"338,296",0,
30,Coldplay,"336,165",5,"A Sky Full of Stars, Sparks, The Scientist, Viva La Vida, Yellow"
31,beabadoobee,"335,337",0,
32,The Smiths,"333,462",0,
33,Doechii,"328,892",2,"Anxiety, DENIAL IS A RIVER"
34,Tame Impala,"326,751",0,
35,Beyoncé,"326,425",0,
36,Deftones,"326,040",0,
37,Childish Gambino,"325,356",0,
38,Linkin Park,"322,451",2,"In the End, Numb"
39,The Neighbourhood,"322,120",1,Sweater Weather
40,TV Girl,"321,382",0,
41,PinkPantheress,"317,917",0,
42,Katy Perry,"315,522",1,Last Friday Night (T.G.I.F.)
